"artist","title","times_played"
Metric,Breathing Underwater,17
City and Colour,The Lonely Life,17
No Doubt,Sunday Morning,17
Sam Roberts,Brother Down,17
Dear Rouge,Black To Gold,17
City and Colour,Lover Come Back,17
The Rural Alberta Advantage,Terrified,17
Cage The Elephant,Ain't No Rest For The Wicked,17
City And Colour,Fragile Bird,17
Mother Mother,Let's Fall In Love,17
Soundgarden,Black Hole Sun,17
Foo Fighters,Big Me,17
Ray Lamontagne,You Are The Best Thing,17
Wildlife,Lightning Tent,16
Arcade Fire,The Suburbs,16
Snow Patrol,Run,16
Death Cab For Cutie,You Are A Tourist,16
City & Colour,The Lonely Life,16
Phoenix,"1901",16
Mumford & Sons,Guiding Light,16
Bob Moses,Tearing Me Up,16
Foster The People,Sit Next To Me,16
Arkells,"11:11",16
Hozier,Take Me to Church,16
Arcade Fire,No Cars Go,16
The Black Keys,Tighten Up,16
Sara Harmer,Basment Aprtment,16
Family Of The Year,Hero,16
Elle King,Ex's & Oh's,16
The New Pornographers,My Rights Versus Yours,16
Panic! At The Disco,I Write Sins Not Tragedies,16
Sam Roberts,Where Have All The Good People Gone,15
Arctic Monkeys,Why'd You Only Call Me When You're High?,15
The Strumbellas,Spirits,15
Arcade Fire,Ready To Start,15
Muse,Uprising,15
The Cure,Pictures Of You,15
Tragically Hip,Bobcaygeon,15
Sublime,What I Got,15
Lorde,Royals,15
The Black Keys,Lonely Boy,15
Feist,"1234",15
Fitz and The Tantrums,Hand Clap,15
Capital Cities,Safe And sound,15
Metric,Help I'm Alive,15
Depeche Mode,Enjoy the Silence,15
Til Tuesday,Voices Carry,15
The Black Keys,Howlin' For You,15
Concrete Blonde,Joey,15
Coldplay,The Scientist,15
Mother Mother,Simply Simple,15
Mother Mother,Monkey Tree,15
Arcade Fire,We Used To Wait,15
Banners,Into the Storm,14
July Talk,Push + Pull,14
Arkells,"Oh, The Boss Is Coming!",14
Placebo,Pure Morning,14
The Man Who,Natural Villain,14
New Order,Blue Monday,14
Vance Joy,Fire and The Flood,14
Sublime,Doin Time,14
Strokes,Last Night,14
Mother Mother,O My Heart,14
Metric,Synthetica,14
